;start_date;end_date;counts;keywords;date
0;2022-05-13 23:51:19+00:00;2022-05-14 00:00:00+00:00;46;electric cars;2022-05-13
1;2022-05-14 00:00:00+00:00;2022-05-14 01:00:00+00:00;323;electric cars;2022-05-14
2;2022-05-14 01:00:00+00:00;2022-05-14 02:00:00+00:00;388;electric cars;2022-05-14
3;2022-05-14 02:00:00+00:00;2022-05-14 03:00:00+00:00;358;electric cars;2022-05-14
4;2022-05-14 03:00:00+00:00;2022-05-14 04:00:00+00:00;360;electric cars;2022-05-14
5;2022-05-14 04:00:00+00:00;2022-05-14 05:00:00+00:00;226;electric cars;2022-05-14
6;2022-05-14 05:00:00+00:00;2022-05-14 06:00:00+00:00;235;electric cars;2022-05-14
7;2022-05-14 06:00:00+00:00;2022-05-14 07:00:00+00:00;199;electric cars;2022-05-14
8;2022-05-14 07:00:00+00:00;2022-05-14 08:00:00+00:00;127;electric cars;2022-05-14
9;2022-05-14 08:00:00+00:00;2022-05-14 09:00:00+00:00;138;electric cars;2022-05-14
10;2022-05-14 09:00:00+00:00;2022-05-14 10:00:00+00:00;149;electric cars;2022-05-14
11;2022-05-14 10:00:00+00:00;2022-05-14 11:00:00+00:00;184;electric cars;2022-05-14
12;2022-05-14 11:00:00+00:00;2022-05-14 12:00:00+00:00;230;electric cars;2022-05-14
13;2022-05-14 12:00:00+00:00;2022-05-14 13:00:00+00:00;298;electric cars;2022-05-14
14;2022-05-14 13:00:00+00:00;2022-05-14 14:00:00+00:00;342;electric cars;2022-05-14
15;2022-05-14 14:00:00+00:00;2022-05-14 15:00:00+00:00;299;electric cars;2022-05-14
16;2022-05-14 15:00:00+00:00;2022-05-14 16:00:00+00:00;275;electric cars;2022-05-14
17;2022-05-14 16:00:00+00:00;2022-05-14 17:00:00+00:00;265;electric cars;2022-05-14
18;2022-05-14 17:00:00+00:00;2022-05-14 18:00:00+00:00;334;electric cars;2022-05-14
19;2022-05-14 18:00:00+00:00;2022-05-14 19:00:00+00:00;270;electric cars;2022-05-14
20;2022-05-14 19:00:00+00:00;2022-05-14 20:00:00+00:00;267;electric cars;2022-05-14
21;2022-05-14 20:00:00+00:00;2022-05-14 21:00:00+00:00;288;electric cars;2022-05-14
22;2022-05-14 21:00:00+00:00;2022-05-14 22:00:00+00:00;280;electric cars;2022-05-14
23;2022-05-14 22:00:00+00:00;2022-05-14 23:00:00+00:00;274;electric cars;2022-05-14
24;2022-05-14 23:00:00+00:00;2022-05-15 00:00:00+00:00;254;electric cars;2022-05-14
25;2022-05-15 00:00:00+00:00;2022-05-15 01:00:00+00:00;208;electric cars;2022-05-15
26;2022-05-15 01:00:00+00:00;2022-05-15 02:00:00+00:00;227;electric cars;2022-05-15
27;2022-05-15 02:00:00+00:00;2022-05-15 03:00:00+00:00;206;electric cars;2022-05-15
28;2022-05-15 03:00:00+00:00;2022-05-15 04:00:00+00:00;217;electric cars;2022-05-15
29;2022-05-15 04:00:00+00:00;2022-05-15 05:00:00+00:00;138;electric cars;2022-05-15
30;2022-05-15 05:00:00+00:00;2022-05-15 06:00:00+00:00;117;electric cars;2022-05-15
31;2022-05-15 06:00:00+00:00;2022-05-15 07:00:00+00:00;106;electric cars;2022-05-15
32;2022-05-15 07:00:00+00:00;2022-05-15 08:00:00+00:00;121;electric cars;2022-05-15
33;2022-05-15 08:00:00+00:00;2022-05-15 09:00:00+00:00;109;electric cars;2022-05-15
34;2022-05-15 09:00:00+00:00;2022-05-15 10:00:00+00:00;108;electric cars;2022-05-15
35;2022-05-15 10:00:00+00:00;2022-05-15 11:00:00+00:00;128;electric cars;2022-05-15
36;2022-05-15 11:00:00+00:00;2022-05-15 12:00:00+00:00;291;electric cars;2022-05-15
37;2022-05-15 12:00:00+00:00;2022-05-15 13:00:00+00:00;258;electric cars;2022-05-15
38;2022-05-15 13:00:00+00:00;2022-05-15 14:00:00+00:00;250;electric cars;2022-05-15
39;2022-05-15 14:00:00+00:00;2022-05-15 15:00:00+00:00;328;electric cars;2022-05-15
40;2022-05-15 15:00:00+00:00;2022-05-15 16:00:00+00:00;330;electric cars;2022-05-15
41;2022-05-15 16:00:00+00:00;2022-05-15 17:00:00+00:00;283;electric cars;2022-05-15
42;2022-05-15 17:00:00+00:00;2022-05-15 18:00:00+00:00;269;electric cars;2022-05-15
43;2022-05-15 18:00:00+00:00;2022-05-15 19:00:00+00:00;238;electric cars;2022-05-15
44;2022-05-15 19:00:00+00:00;2022-05-15 20:00:00+00:00;255;electric cars;2022-05-15
45;2022-05-15 20:00:00+00:00;2022-05-15 21:00:00+00:00;240;electric cars;2022-05-15
46;2022-05-15 21:00:00+00:00;2022-05-15 22:00:00+00:00;208;electric cars;2022-05-15
47;2022-05-15 22:00:00+00:00;2022-05-15 23:00:00+00:00;211;electric cars;2022-05-15
48;2022-05-15 23:00:00+00:00;2022-05-16 00:00:00+00:00;208;electric cars;2022-05-15
49;2022-05-16 00:00:00+00:00;2022-05-16 01:00:00+00:00;192;electric cars;2022-05-16
50;2022-05-16 01:00:00+00:00;2022-05-16 02:00:00+00:00;157;electric cars;2022-05-16
51;2022-05-16 02:00:00+00:00;2022-05-16 03:00:00+00:00;169;electric cars;2022-05-16
52;2022-05-16 03:00:00+00:00;2022-05-16 04:00:00+00:00;110;electric cars;2022-05-16
53;2022-05-16 04:00:00+00:00;2022-05-16 05:00:00+00:00;174;electric cars;2022-05-16
54;2022-05-16 05:00:00+00:00;2022-05-16 06:00:00+00:00;212;electric cars;2022-05-16
55;2022-05-16 06:00:00+00:00;2022-05-16 07:00:00+00:00;208;electric cars;2022-05-16
56;2022-05-16 07:00:00+00:00;2022-05-16 08:00:00+00:00;211;electric cars;2022-05-16
57;2022-05-16 08:00:00+00:00;2022-05-16 09:00:00+00:00;196;electric cars;2022-05-16
58;2022-05-16 09:00:00+00:00;2022-05-16 10:00:00+00:00;183;electric cars;2022-05-16
59;2022-05-16 10:00:00+00:00;2022-05-16 11:00:00+00:00;268;electric cars;2022-05-16
60;2022-05-16 11:00:00+00:00;2022-05-16 12:00:00+00:00;289;electric cars;2022-05-16
61;2022-05-16 12:00:00+00:00;2022-05-16 13:00:00+00:00;394;electric cars;2022-05-16
62;2022-05-16 13:00:00+00:00;2022-05-16 14:00:00+00:00;283;electric cars;2022-05-16
63;2022-05-16 14:00:00+00:00;2022-05-16 15:00:00+00:00;345;electric cars;2022-05-16
64;2022-05-16 15:00:00+00:00;2022-05-16 16:00:00+00:00;275;electric cars;2022-05-16
65;2022-05-16 16:00:00+00:00;2022-05-16 17:00:00+00:00;239;electric cars;2022-05-16
66;2022-05-16 17:00:00+00:00;2022-05-16 18:00:00+00:00;263;electric cars;2022-05-16
67;2022-05-16 18:00:00+00:00;2022-05-16 19:00:00+00:00;278;electric cars;2022-05-16
68;2022-05-16 19:00:00+00:00;2022-05-16 20:00:00+00:00;217;electric cars;2022-05-16
